category,template,source,target,occurrences,support,trace_ids
ordered,chain_precedence,E,A,,0.2,3
ordered,chain_response,A,C,,0.4,5|4
ordered,chain_response,A,D,,0.2,1
ordered,chain_response,B,E,,0.2,4
ordered,chain_response,C,D,,0.2,4
ordered,chain_response,C,E,,0.2,3
ordered,chain_response,E,A,,0.2,3
ordered,chain_response,E,C,,0.2,4
ordered,chain_succession,B,E,,0.2,4
ordered,chain_succession,E,A,,0.2,3
ordered,precedence,A,C,,0.4,5|1
ordered,precedence,B,A,,0.6,5|4|2
ordered,precedence,B,C,,0.4,5|4
ordered,precedence,B,D,,0.2,2
ordered,precedence,B,E,,0.2,4
ordered,precedence,C,A,,0.4,3|4
ordered,precedence,C,E,,0.2,3
ordered,precedence,D,A,,0.6,1|4|2
ordered,precedence,D,B,,0.2,4
ordered,precedence,D,C,,0.4,1|4
ordered,precedence,D,E,,0.2,4
ordered,precedence,E,A,,0.4,3|4
ordered,precedence,E,C,,0.2,4
ordered,response,A,B,,0.4,5|2
ordered,response,A,C,,0.6,5|1|4
ordered,response,A,D,,0.6,1|4|2
ordered,response,B,A,,0.2,4
ordered,response,B,C,,0.2,4
ordered,response,B,D,,0.2,4
ordered,response,B,E,,0.2,4
ordered,response,C,A,,0.2,3
ordered,response,C,B,,0.2,5
ordered,response,C,D,,0.2,4
ordered,response,C,E,,0.2,3
ordered,response,D,B,,0.2,2
ordered,response,D,C,,0.2,1
ordered,response,E,A,,0.4,3|4
ordered,response,E,C,,0.2,4
ordered,response,E,D,,0.2,4
ordered,succession,A,C,,0.4,5|1
ordered,succession,B,A,,0.2,4
ordered,succession,B,C,,0.2,4
ordered,succession,B,E,,0.2,4
ordered,succession,C,A,,0.2,3
ordered,succession,C,E,,0.2,3
ordered,succession,D,C,,0.2,1
ordered,succession,E,A,,0.4,3|4
ordered,succession,E,C,,0.2,4
positional,end,A,,,0.2,3
positional,end,B,,,0.4,2|5
positional,end,C,,,0.2,1
positional,end,D,,,0.2,4
positional,init,B,,,1.6,2|5|2|5|2|5|2|5
positional,init,C,,,0.8,3|3|3|3
positional,init,D,,,1.6,4|1|4|4|1|1|4|1
unordered,choice,A,B,,1.0,3|5|1|4|2
unordered,choice,A,C,,1.0,5|1|4|2|3
unordered,choice,A,D,,1.0,3|5|1|4|2
unordered,choice,A,E,,1.0,5|1|4|2|3
unordered,choice,B,C,,1.0,3|5|1|4|2
unordered,choice,B,D,,0.8,5|1|4|2
unordered,choice,B,E,,0.8,5|4|2|3
unordered,choice,C,D,,1.0,5|1|4|2|3
unordered,choice,C,E,,0.8,5|1|4|3
unordered,choice,D,E,,0.8,1|4|2|3
unordered,coexistence,A,B,,0.6,5|4|2
unordered,coexistence,A,C,,0.8,5|1|4|3
unordered,coexistence,A,D,,0.6,1|4|2
unordered,coexistence,A,E,,0.4,3|4
unordered,coexistence,B,C,,0.4,5|4
unordered,coexistence,B,D,,0.4,4|2
unordered,coexistence,B,E,,0.2,4
unordered,coexistence,C,D,,0.4,1|4
unordered,coexistence,C,E,,0.4,3|4
unordered,coexistence,D,E,,0.2,4
unordered,exclusive_choice,A,B,,0.4,3|1
unordered,exclusive_choice,A,C,,0.2,2
unordered,exclusive_choice,A,D,,0.4,5|3
unordered,exclusive_choice,A,E,,0.6,5|1|2
unordered,exclusive_choice,B,C,,0.6,3|1|2
unordered,exclusive_choice,B,D,,0.4,5|1
unordered,exclusive_choice,B,E,,0.6,5|2|3
unordered,exclusive_choice,C,D,,0.6,3|5|2
unordered,exclusive_choice,C,E,,0.4,5|1
unordered,exclusive_choice,D,E,,0.6,1|2|3
